video link,Name,country,Locale,Feature 1,Feature 2,Feature 3,Name of Stream,Details,Page
https://www.webcamtaxi.com/en/nepal/solukhumbu-district/himalayanlodge-lukla-cam.html,Himalayan Lodge Lukl…,Nepal,Solukhumbu district,Airport,Landscape,Hotels & Resorts,,,
https://www.webcamtaxi.com/en/canada/british-columbia/nanaimo-harbor-cam.html,"Nanaimo Harbor Cam, …",Canada,British Columbia,Boats,Harbour,Harbour,,,
https://www.webcamtaxi.com/en/italy/aosta-valley/aosta-cam.html,"Fiera di Sant'Orso, …",Italy,Aosta Valley,Bar,Business,Business,,,
https://www.webcamtaxi.com/en/usa/florida/miami-south-beach-cam.html,"Miami South Beach, F…",Usa,Florida,Sea,Beach,Miami,,,
https://www.webcamtaxi.com/en/finland/southwest-finland/turku-market-square-cam.html,Turku Market Square…,Finland,Southwest Finland,Traffic,Square,Square,,,
https://www.webcamtaxi.com/en/usa/indiana/kipster-farm-chickens-cam.html,Kipster Farm Chicken…,Usa,Indiana,Animals,Usa,Animals,,,
https://www.webcamtaxi.com/en/brazil/santa-catarina/sao-jose-traffic-cam.html,São José Traffic Cam…,Brazil,Santa Catarina,Traffic,Brazil,Traffic,,,
https://www.webcamtaxi.com/en/usa/maine/trafton-falls-milo-cam.html,"Trafton Falls, Milo…",Usa,Maine,Bridge,River,River,,,
https://www.webcamtaxi.com/en/spain/girona-province/tossa-de-mar-cam.html,"Tossa de Mar Cam, Gi…",Spain,Girona,Sea,Monument,Landscape,,,
https://www.webcamtaxi.com/en/japan/gunma/marunuma-kogen-restaurant-plateau.html,Marunuma Kogen Resta…,Japan,Gunma,Restaurant,Japan,Restaurant,,,
https://www.webcamtaxi.com/en/usa/ohio/beavercreek-cam.html,"Beavercreek Cam, Ohi…",Usa,Ohio,Traffic,Business,Business,,,
https://www.webcamtaxi.com/en/ireland/county-donegal/bundoran-beach-cam.html,"Bundoran Beach Cam, …",Ireland,County Donegal,Sea,Beach,Surf,,,
https://www.webcamtaxi.com/en/usa/new-hampshire/patspeak-turbulence-park-cam.html,Pats Peak Turbulence…,Usa,New Hampshire,Ski,Landscape,Landscape,,,
https://www.webcamtaxi.com/en/czech-republic/zlin-region/aquapark-cpa-delfin.html,Aquapark CPA Delfin…,Czech Republic,Zlín,Pool,Czech Republic,Pool,,,
